location,date_updated,hotel_name,hotel_lat,hotel_lon,hotel_score,score_title,score_expe,url
Biarritz,2022-01-02,Hotel Txutxu-Mutxu,43.48405704,-1.5489971599999999,8.2,Très bien ,242,https://www.booking.com/hotel/fr/aubergelerelais.fr.html
Biarritz,2022-01-02,Ama Hôtel,43.48131295,-1.55749306,8.8,Superbe ,514,https://www.booking.com/hotel/fr/alcyon-biarritz.fr.html
Biarritz,2022-01-02,Le Gamaritz,43.4817742,-1.5665441800000002,7.8,Bien  ,559,https://www.booking.com/hotel/fr/le-gamaritz.fr.html
Biarritz,2022-01-02,Hôtel Maison Garnier,43.48046829,-1.5633443,8.9,Superbe ,141,https://www.booking.com/hotel/fr/maison-garnier.fr.html
Biarritz,2022-01-02,Hôtel Oxo,43.48176836,-1.55452318,7.6,Bien  ,554,https://www.booking.com/hotel/fr/christina.fr.html
Biarritz,2022-01-02,Hôtel Mirano,43.47436556,-1.55264899,8.8,Superbe ,477,https://www.booking.com/hotel/fr/mirano.fr.html
Biarritz,2022-01-02,Escale Oceania Biarritz,43.48534146,-1.5523874800000002,8.1,Très bien ,612,https://www.booking.com/hotel/fr/altess-hotel.fr.html
Biarritz,2022-01-02,Hôtel Maïtagaria,43.47897745,-1.56064063,8.6,Superbe ,285,https://www.booking.com/hotel/fr/maitagaria.fr.html
Biarritz,2022-01-02,Hôtel Au Bon Coin,43.4821737,-1.5541904,9.4,Fabuleux  ,1,https://www.booking.com/hotel/fr/au-bon-coin-biarritz.fr.html
Biarritz,2022-01-02,Carlina Lodge,43.47747717,-1.56685475,8.6,Superbe ,126,https://www.booking.com/hotel/fr/carlina-lodge-biarritz.fr.html
Biarritz,2022-01-02,Résidence Victoria Surf,43.48474402,-1.55708939,8.1,Très bien ,570,https://www.booking.com/hotel/fr/residence-victoria-surf-victoria-management.fr.html
Biarritz,2022-01-02,Hotel De L'Océan,43.48257408,-1.56374395,8.0,Très bien ,558,https://www.booking.com/hotel/fr/de-l-ocean.fr.html
Biarritz,2022-01-02,Hotel Edouard Vii,43.47920322,-1.56221509,8.9,Superbe ,990,https://www.booking.com/hotel/fr/edouard-vii.fr.html
Biarritz,2022-01-02,Brit Hotel Marbella,43.48204861,-1.56584948,7.6,Bien  ,776,https://www.booking.com/hotel/fr/citotelmarbella.fr.html
Marseille,2022-01-02,Appart'City Marseille Euromed,43.3148132,5.3694651,6.6,Agréable ,2,https://www.booking.com/hotel/fr/appart-city-marseille-euromed.fr.html
Marseille,2022-01-02,B&B Hôtel Marseille Centre La Joliette,43.30491975,5.36789015,7.0,Bien  ,1,https://www.booking.com/hotel/fr/b-amp-b-ha-tel-marseille-centre-la-joliette.fr.html
Marseille,2022-01-02,Urban Loft Marseille,43.30174056,5.37969984,7.7,Bien  ,308,https://www.booking.com/hotel/fr/les-z-39-apparts-urban-loft.fr.html
Marseille,2022-01-02,Ibis Marseille Centre Gare Saint Charles,43.30294352,5.38222834,7.5,Bien  ,3,https://www.booking.com/hotel/fr/ibis-marseille-gare-saint-charles.fr.html
Marseille,2022-01-02,Montempô Apparthôtel Marseille Centre Euromed,43.31580003,5.37297461,6.9,Agréable ,1,https://www.booking.com/hotel/fr/marseille-centre-euromed-marseille.fr.html
Marseille,2022-01-02,Residence Services Calypso Calanques Plage,43.25110681,5.38970053,8.0,Très bien ,491,https://www.booking.com/hotel/fr/residence-services-calypso.fr.html
Marseille,2022-01-02,Odalys City Marseille Canebière,43.29794043,5.38361728,7.0,Bien  ,1,https://www.booking.com/hotel/fr/odalys-apparta-canebiere.fr.html
Marseille,2022-01-02,Hotel Terminus Saint-Charles,43.30128993,5.38017333,7.6,Bien  ,1,https://www.booking.com/hotel/fr/terminus-saint-charles.fr.html
Marseille,2022-01-02,Hôtel 96,43.239497,5.4062465,9.1,Fabuleux  ,274,https://www.booking.com/hotel/fr/ha-tel-96.fr.html
Marseille,2022-01-02,Appart Hôtel Maison Montgrand-Vieux Port,43.291159,5.376363,8.5,Très bien ,150,https://www.booking.com/hotel/fr/appartements-montgrand.fr.html
Marseille,2022-01-02,Kyriad Marseille Blancarde - Timone,43.296558,5.400765,7.3,Bien  ,902,https://www.booking.com/hotel/fr/kyriad-marseille-blancarde-timone.fr.html
Marseille,2022-01-02,Le Drip'S,43.247273,5.3904309999999995,8.3,Très bien ,279,https://www.booking.com/hotel/fr/le-drip-39-s.fr.html
Marseille,2022-01-02,Les Appartements Du Vieux Port,43.2951169,5.3761663,9.5,Exceptionnel ,2,https://www.booking.com/hotel/fr/les-jardins-du-ga-c-na-c-ral.fr.html
Marseille,2022-01-02,Escale Oceania Marseille Vieux Port,43.29554688,5.37474588,8.3,Très bien ,877,https://www.booking.com/hotel/fr/hotel-mascotte-vieux-port.fr.html
Marseille,2022-01-02,Best Western Hotel Du Mucem,43.3024494,5.36572158,8.1,Très bien ,638,https://www.booking.com/hotel/fr/best-western-du-mucem.fr.html
Marseille,2022-01-02,Massilia Hôtel,43.30069129,5.38014894,7.9,Bien  ,1,https://www.booking.com/hotel/fr/massilia-marseille.fr.html
Marseille,2022-01-02,Hôtel Maison Saint Louis - Vieux Port,43.29585142,5.37849426,8.0,Très bien ,1,https://www.booking.com/hotel/fr/saint-louis.fr.html
Marseille,2022-01-02,Odalys City Marseille Prado Castellane,43.27977452,5.3905347,7.7,Bien  ,1,https://www.booking.com/hotel/fr/appart-39-odalys-prado-castellane.fr.html
Marseille,2022-01-02,Hotel Belle-Vue Vieux-Port,43.2964156,5.37206098,8.1,Très bien ,1,https://www.booking.com/hotel/fr/belle-vue.fr.html
Marseille,2022-01-02,Staycity Aparthotels Centre Vieux Port,43.30046625,5.37444157,8.2,Très bien ,4,https://www.booking.com/hotel/fr/staycity-aparthotels-centre-vieux-port.fr.html
Marseille,2022-01-02,Aparthotel Adagio Access Marseille Prado Périer,43.27869234,5.38806036,7.9,Bien  ,1,https://www.booking.com/hotel/fr/citea-marseille-prado-perier.fr.html
Marseille,2022-01-02,Kyriad Marseille Centre Paradis-Préfecture,43.2887287,5.37895238,7.0,Bien  ,1,https://www.booking.com/hotel/fr/kyriad-marseille-centre-paradis-pra-c-fecture.fr.html
Marseille,2022-01-02,Campanile Marseille Saint Antoine,43.37978112,5.35564184,6.3,Agréable ,1,https://www.booking.com/hotel/fr/campanile-marseille-saint-antoine.fr.html
Marseille,2022-01-02,Le Rhul,43.28031405,5.35387024,8.2,Très bien ,849,https://www.booking.com/hotel/fr/le-rhul.fr.html
Marseille,2022-01-02,Best Western Hotel Marseille Bourse Vieux Port By Happyculture,43.29732159,5.37753899,7.7,Bien  ,1,https://www.booking.com/hotel/fr/ha-tel-marseille-vieux-port.fr.html
Biarritz,2022-01-02,Premiere Classe Biarritz,43.46632918,-1.5405750299999998,5.1,Passable ,3,https://www.booking.com/hotel/fr/premiere-classe-biarritz.fr.html
Biarritz,2022-01-02,Outsite Coliving Biarritz,43.479357,-1.562543,8.0,Très bien ,491,https://www.booking.com/hotel/fr/outsite-coliving-biarrtiz.fr.html
